kanji,furigana,arti
何,なに/なん,apa
何人,なにじん,kebangsaan apa
何人,なんにん,berapa orang
何年,なんねん,berapa tahun
何時,なんじ,jam berapa
手,て,tangan
手紙,てがみ,surat
手伝う,てつだう,membantu
手袋,てぶくろ,sarung tangan
運転手,うんてんしゅ,sopir
上手な,じょうずな,pandai
下手な,へたな,tidak pandai
切る,きる,memotong
切手,きって,perangko
切符,きっぷ,tiket
大切な,たいせつな,penting
親切な,しんせつな,baik hati
分かる,わかる,mengerti
分ける,わける,membagi
五分,ごふん,5 menit
二十分,にじゅっぷん,20 menit
半分,はんぶん,setengah
十分な,じゅうぶんな,cukup
今,いま,sekarang
今晩,こんばん,malam ini
今年,ことし,tahun ini
今朝,けさ,tadi pagi
今日,きょう,hari ini
半分,はんぶん,setengah
三時半,さんじはん,jam 3:30
半年,はんとし,setengah tahun
前半,ぜんはん,paruh pertama
後半,こうはん,paruh kedua
止まる,とまる,berhenti
止める,とめる,menghentikan
通行止め,つうこうどめ,dilarang lewat
中止する,ちゅうしする,membatalkan
正しい,ただしい,benar
お正月,おしょうがつ,tahun baru
正確な,せいかくな,akurat
歩く,あるく,berjalan
歩道,ほどう,trotoar
歩行者,ほこうしゃ,pejalan kaki
散歩する,さんぽする,jalan-jalan
足,あし,kaki
足す,たす,menambah
足りる,たりる,cukup
二足,にそく,dua pasang
不足する,ふそくする,kekurangan
走る,はしる,berlari
走者,そうしゃ,pelari
起きる,おきる,bangun
早起きする,はやおきする,bangun cepat
起こす,おこす,membangunkan
夕方,ゆうがた,sore
夕飯,ゆうはん,makan malam
夕食,ゆうしょく,makan malam
外,そと,luar
外の,ほかの,yang lain
海外,かいがい,luar negeri
郊外,こうがい,pinggiran kota
外出する,がいしゅつする,keluar
時間外,じかんがい,di luar waktu
多い,おおい,banyak
多分,たぶん,mungkin
多数,たすう,banyak (jumlah)
多少,たしょう,sedikit/banyak
名前,なまえ,nama
有名な,ゆうめいな,terkenal
名所,めいしょ,tempat terkenal
名物,めいぶつ,ciri khas
名字,みょうじ,nama keluarga
夜,よる,malam
今夜,こんや,malam ini
夜食,やしょく,cemilan malam
生まれる,うまれる,lahir
生きる,いきる,hidup
大学生,だいがくせい,mahasiswa
先生,せんせい,guru
生徒,せいと,siswa
生活する,せいかつする,hidup
誕生日,たんじょうび,ulang tahun
一生懸命,いっしょうけんめい,dengan sungguh-sungguh
